psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100395;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;25;6;3;2;3;125
100396;1;1;1;2;1;1;1;2;2;2; ; ; ; ; ; ; ;35;6;1;1;1;1;1;2;1;9; ;27;6;3;1;2;125,2
100402;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;59;3;2; ; ;125,3
100403;1;2;1;2;1;1;2;2;1;2; ; ; ; ; ; ; ;2;5;1;1;2;2;1;2;2; ; ;22;6;6;4; ;125,8
100404;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;2;2;1;2;2; ; ;65;1;3;1;3;126,5
100405;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;2;2;1;2;2; ; ;61;3;3;1;2;126,6
100407;2;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;2;10;1;2;2;2;1;2;2; ; ;53;1;3;1;6;127,1
100408;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;4; ;1;1;2;2;1;2;2; ; ;57;6;6;2; ;127,1
100414;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;2;3;2;1;2;2; ; ;79;3;3;3; ;127,2
100415;1;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2;1;2;1;2;2; ; ;62;4;6;3;6;127,7
100420;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;79;5;5;3;3;128,5
100422;2;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;1;1;1;3;2;2;1;2;2; ; ;64;5;5;3; ;128,8
100424;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;70;5;3;3;1;129
100426;2;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;10;100;1;1;1;1;2;2;2; ; ;25;1;6;1;6;129,1
100435;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;54;3;3;2;7;129,2
100438;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;42;1;2;1;7;129,3
